Loại giao dịch,Thành phố,Quận/huyện,Loại hình đất,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất,Ngày đăng,crawl_date,Giá,Đơn vị(Mức giá)
Cho thuê,Bình Dương,Thuận An,Kho,Thỏa thuận,2.5,,,,,,,,,,2025-06-03,2025-12-30,,
Cho thuê,Bình Dương,Thuận An,Kho,50 triệu/tháng,920.0,,,,,,,,,,2025-06-02,2025-12-30,50.0,triệu/tháng
Cho thuê,Hà Nội,Cầu Giấy,"Chung cư mini, căn hộ","4,3 triệu/tháng",25.0,1.0,1,,,,,,,Đầy đủ,2025-05-30,2025-12-30,4.3,triệu/tháng
Cho thuê,Hà Nội,Nam Từ Liêm,"Chung cư mini, căn hộ","4,2 triệu/tháng",40.0,2.0,1,,Đông,Đông - Nam,,,,Đầy đủ,2025-06-08,2025-12-30,4.2,triệu/tháng
Bán,Hồ Chí Minh,Củ Chi,Bán đất,950 triệu,140.0,,,,,,8.0,16.0,,,2025-06-06,2025-12-30,950.0,triệu
Bán,Hồ Chí Minh,Quận 7,Căn hộ chung cư,"8,2 tỷ",82.0,2.0,2,,Đông - Nam,Đông - Nam,,,Hợp đồng mua bán,Đầy đủ,2025-06-06,2025-12-30,8.2,tỷ
Bán,Hà Nội,Nam Từ Liêm,Nhà riêng,"10,8 tỷ",50.0,9.0,9,5,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-06,2025-12-30,10.8,tỷ
Bán,Hà Nội,Hoài Đức,Bán đất,Thỏa thuận,72.0,,,,,,,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,,
Bán,Bình Dương,Bến Cát,Nhà biệt thự,"3,1 tỷ",180.0,,,,,,,,Sổ đỏ/ Sổ hồng,Không nội thất.,2025-06-06,2025-12-30,3.1,tỷ
Bán,Đà Nẵng,Sơn Trà,Nhà mặt phố,23 tỷ,92.5,15.0,15,8,,,5.0,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-06,2025-12-30,23.0,tỷ
Bán,Khánh Hòa,Trường Sa,Căn hộ chung cư,Thỏa thuận,2.222,,,,,,,,,,2025-06-06,2025-12-30,,
Bán,Quảng Ngãi,Sơn Tịnh,Đất nền,"1,45 tỷ",154.0,,,,Nam,,7.0,12.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,1.45,tỷ
Bán,Hà Nội,Hà Đông,Nhà biệt thự,19 tỷ,75.0,6.0,6,5,Đông - Nam,Tây - Bắc,7.0,12.0,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-03,2025-12-30,19.0,tỷ
Bán,Hồ Chí Minh,Nhà Bè,Nhà biệt thự,"10,7 tỷ",97.0,,,3,,,,,Sổ đỏ/ Sổ hồng,,2025-05-30,2025-12-30,10.7,tỷ
Bán,Hà Nội,Nam Từ Liêm,Nhà biệt thự,"72,6 tỷ",216.0,,,,,,,,,"Nội thất sang trọng,",2025-06-06,2025-12-30,72.6,tỷ
Bán,Hà Nội,Cầu Giấy,Nhà riêng,"6,9 tỷ",36.0,3.0,3,5,,,4.0,2.0,Sổ đỏ/ Sổ hồng,,2025-06-03,2025-12-30,6.9,tỷ
Bán,Hà Nội,Long Biên,Nhà riêng,"6,88 tỷ",44.0,6.0,6,5,,,,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,6.88,tỷ
Bán,Hồ Chí Minh,Nhà Bè,Nhà biệt thự,"15,4 tỷ",140.0,,,3,,,,,Sổ đỏ/ Sổ hồng,,2025-05-29,2025-12-30,15.4,tỷ
Bán,Bình Phước,Chơn Thành,Bán đất,760 triệu,173.0,,,,,,,,,,2025-06-06,2025-12-30,760.0,triệu
Bán,Thái Bình,Thái Bình,Căn hộ chung cư,"2,38 tỷ",76.1,2.0,2,,Tây - Bắc,Đông - Nam,,,Hợp đồng mua bán,Cơ bản,2025-06-06,2025-12-30,2.38,tỷ
Bán,Đồng Nai,Vĩnh Cửu,Nhà riêng,"2,05 tỷ",100.0,3.0,2,2,,,5.0,6.0,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-06,2025-12-30,2.05,tỷ
Bán,Hồ Chí Minh,Quận 2,Căn hộ chung cư,"7,15 tỷ",83.0,3.0,,,,Đông - Nam,,,,Full nội thất.,2025-06-06,2025-12-30,7.15,tỷ
Bán,Hồ Chí Minh,Nhà Bè,Nhà biệt thự,"16,5 tỷ",140.0,4.0,4,4,Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,2025-06-06,2025-12-30,16.5,tỷ
Bán,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư,21 tỷ,279.0,4.0,3,,Đông - Bắc,Tây - Nam,,,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-06,2025-12-30,21.0,tỷ
Bán,Hồ Chí Minh,Quận 7,Căn hộ chung cư,"6,2 tỷ",76.0,2.0,2,,Đông - Nam,Tây - Nam,,,Sổ đỏ/ Sổ hồng,Full,2025-06-06,2025-12-30,6.2,tỷ
Bán,Hà Nội,Hoàng Mai,Căn hộ chung cư,"4,65 tỷ",71.0,2.0,2,,Đông - Bắc,Tây - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-04,2025-12-30,4.65,tỷ
Bán,Hồ Chí Minh,Thủ Đức,Bán đất,"8,9 tỷ",245.0,,,,,,12.0,12.0,Sổ hồng riêng,,2025-06-06,2025-12-30,8.9,tỷ
Bán,Hải Phòng,Cát Hải,Shophouse,19 tỷ,135.0,,,,Đông - Nam,Đông - Nam,,25.0,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-06,2025-12-30,19.0,tỷ
Bán,Hồ Chí Minh,Bình Tân,Căn hộ chung cư,"3,1 tỷ",51.0,1.0,1,,,,,,Hợp đồng mua bán,Cơ bản,2025-06-06,2025-12-30,3.1,tỷ
Bán,Hà Nội,Tây Hồ,Căn hộ chung cư,"18,5 tỷ",160.0,4.0,3,,Nam,Bắc,,,Hợp đồng mua bán,Đầy đủ,2025-06-06,2025-12-30,18.5,tỷ
Bán,Hồ Chí Minh,Quận 2,Nhà biệt thự,32 tỷ,150.5,,,3,,,,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,32.0,tỷ
Bán,Đà Nẵng,Ngũ Hành Sơn,Căn hộ chung cư,"4,85 tỷ",73.27,2.0,2,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-06,2025-12-30,4.85,tỷ
Bán,Hồ Chí Minh,Quận 12,Bán đất,"26,3 tỷ",850.0,,,,,,,,,,2025-05-26,2025-12-30,26.3,tỷ
Bán,Đà Nẵng,Sơn Trà,Căn hộ chung cư,"4,9 tỷ",77.0,3.0,2,,,,,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,4.9,tỷ
Bán,Bình Dương,Thủ Dầu Một,Bán đất,"1,39 tỷ",125.0,,,,Đông - Nam,,8.0,8.0,Sổ đỏ/ Sổ hồng.,,2025-06-02,2025-12-30,1.39,tỷ
Bán,Bình Dương,Thủ Dầu Một,Nhà riêng,"2,68 tỷ",125.0,3.0,4,3,Đông - Nam,Đông - Nam,8.0,12.0,Sổ đỏ/ Sổ hồng.,Đầy đủ hoàn thiện full nội thất cao cấp.,2025-06-03,2025-12-30,2.68,tỷ
Bán,Quảng Ngãi,Sơn Tịnh,Đất nền,"2,69 tỷ",270.0,,,,Nam,,,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,2.69,tỷ
Bán,Bình Dương,Dĩ An,Căn hộ chung cư,"1,9 tỷ",56.0,1.0,1,,Tây - Bắc,Đông - Nam,,,Hợp đồng mua bán,Cơ bản,2025-06-06,2025-12-30,1.9,tỷ
Bán,Đồng Nai,Nhơn Trạch,Căn hộ chung cư,"2,9 tỷ",80.0,2.0,2,,Nam,Bắc,,,Hợp đồng mua bán,Cơ bản,2025-06-06,2025-12-30,2.9,tỷ
Bán,Hồ Chí Minh,Bình Tân,Nhà biệt thự,"6,2 tỷ",75.0,,,5,Đông - Nam,Đông - Nam,5.0,20.0,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-06,2025-12-30,6.2,tỷ
Bán,Hà Nội,Hà Đông,Nhà biệt thự,Thỏa thuận,95.0,6.0,6,5,Đông - Nam,Tây - Bắc,5.0,15.0,Sổ đỏ/ Sổ hồng,Hoàn thiện mặt ngoài,2025-06-06,2025-12-30,,
Bán,Hà Nội,Hà Đông,Nhà riêng,"8,79 tỷ",35.0,6.0,5,5,,,,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-06,2025-12-30,8.79,tỷ
Bán,Hồ Chí Minh,Tân Bình,Nhà riêng,"8,2 tỷ",75.0,3.0,3,2,,,,5.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,8.2,tỷ
Bán,Hà Nội,Thanh Xuân,Căn hộ chung cư,17 tỷ,161.0,4.0,3,,,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Full nội thất.,2025-06-06,2025-12-30,17.0,tỷ
Bán,Lâm Đồng,Bảo Lâm,Bán đất,21 tỷ,,,,,Đông - Nam,,138.0,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,21.0,tỷ
Bán,Thanh Hóa,Sầm Sơn,Nhà biệt thự,"12,8 tỷ",177.0,7.0,,4,,,,,,,2025-06-06,2025-12-30,12.8,tỷ
Bán,Hồ Chí Minh,Quận 2,Căn hộ chung cư,"5,3 tỷ",61.0,2.0,2,,,,,,,,2025-06-06,2025-12-30,5.3,tỷ
Bán,Quảng Nam,Điện Bàn,Đất nền,"4,5 tỷ",245.0,,,,,,,,,,2025-06-06,2025-12-30,4.5,tỷ
Bán,Hà Nội,Bắc Từ Liêm,Bán đất,45 tỷ,168.0,,,,Đông - Bắc,,20.0,8.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,45.0,tỷ
Bán,Hà Nội,Nam Từ Liêm,Nhà riêng,11 tỷ,40.0,5.0,6,6,Đông - Nam,,5.0,12.0,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-06,2025-12-30,11.0,tỷ
Bán,Hồ Chí Minh,Bình Thạnh,Nhà riêng,"14,8 tỷ",64.0,,,4,,,,,,,2025-06-06,2025-12-30,14.8,tỷ
Bán,Hồ Chí Minh,Quận 2,Đất nền,22 tỷ,100.0,,,,,,,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,22.0,tỷ
Bán,Hồ Chí Minh,Phú Nhuận,Nhà mặt phố,23 tỷ,62.5,,,,,,,,,,2025-06-06,2025-12-30,23.0,tỷ
Bán,Hà Nội,Hoài Đức,Căn hộ chung cư,"3,1 tỷ",82.0,2.0,2,,Đông - Nam,Tây - Bắc,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-06,2025-12-30,3.1,tỷ
Bán,Quảng Ninh,Hạ Long,Căn hộ chung cư,3 tỷ,60.0,1.0,1,,Đông - Bắc,Đông - Nam,,,Hợp đồng mua bán.,Đầy đủ,2025-06-06,2025-12-30,3.0,tỷ
Bán,Hồ Chí Minh,Phú Nhuận,Nhà mặt phố,"23,5 tỷ",71.0,,,,,,,,,,2025-06-06,2025-12-30,23.5,tỷ
Bán,Hà Nội,Đống Đa,Nhà riêng,"4,25 tỷ",20.0,4.0,3,5,,,,,Sổ đỏ/ Sổ hồng,Full đồ.,2025-06-06,2025-12-30,4.25,tỷ
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,"5,5 tỷ",130.0,3.0,2,,,,,,,,2025-06-06,2025-12-30,5.5,tỷ
Bán,Hà Nội,Long Biên,Nhà mặt phố,32 tỷ,75.0,5.0,5,6,,,,,Sổ đỏ/ Sổ hồng.,,2025-06-06,2025-12-30,32.0,tỷ
Bán,Long An,Tân An,Bán đất,"27,25 tỷ",,,,,,,,8.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,27.25,tỷ
Bán,Hồ Chí Minh,Quận 7,Căn hộ chung cư,"5,95 tỷ",96.0,3.0,2,,,Tây - Bắc,,,Hợp đồng mua bán,,2025-06-06,2025-12-30,5.95,tỷ
Bán,Bình Dương,Thuận An,Căn hộ chung cư,"1,1 tỷ",38.0,1.0,1,,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-06,2025-12-30,1.1,tỷ
Bán,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,"5,38 tỷ",84.0,2.0,2,,,Đông - Nam,,,Hợp đồng mua bán,Đầy đủ,2025-06-06,2025-12-30,5.38,tỷ
Bán,Hồ Chí Minh,Thủ Đức,Nhà mặt phố,70 tỷ,155.0,8.0,3,3,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-06,2025-12-30,70.0,tỷ
Bán,Đà Nẵng,Sơn Trà,Nhà mặt phố,"8,3 tỷ",120.0,,,,,,,,Sổ đỏ/ Sổ hồng,,2025-06-02,2025-12-30,8.3,tỷ
Bán,Hồ Chí Minh,Củ Chi,Bán đất,"15,18 tỷ",710.7,,,,,,,6.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,15.18,tỷ
Bán,Hà Nội,Hoài Đức,Nhà biệt thự,"13,5 tỷ",80.0,,,5,Đông - Bắc,,5.0,13.0,Sổ đỏ,,2025-06-06,2025-12-30,13.5,tỷ
Bán,Đà Nẵng,Hải Châu,Nhà biệt thự,66 triệu/m²,300.0,5.0,6,3,Đông,,12.0,,Sổ đỏ/ Sổ hồng,Không nội thất.,2025-06-06,2025-12-30,66.0,triệu/m²
Bán,Đà Nẵng,Sơn Trà,Bán đất,"9,3 tỷ",126.0,,,,Tây - Nam,,4.0,7.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,9.3,tỷ
Bán,Hà Nội,Hà Đông,Căn hộ chung cư,"4,2 tỷ",82.0,2.0,2,,,,,,,Full nội thất xịn đẹp.,2025-06-06,2025-12-30,4.2,tỷ
Bán,Hà Nội,Cầu Giấy,Nhà riêng,"17,3 tỷ",65.0,5.0,,4,,,,9.0,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-06,2025-12-30,17.3,tỷ
Bán,Hà Nội,Nam Từ Liêm,Nhà biệt thự,24 tỷ,100.0,,,5,,,5.0,13.0,,,2025-06-06,2025-12-30,24.0,tỷ
Bán,Hồ Chí Minh,Quận 9,Nhà biệt thự,"7,6 tỷ",100.0,,,,,,,,Sổ đỏ/ Sổ hồng.,,2025-06-06,2025-12-30,7.6,tỷ
Bán,Hà Nội,Nam Từ Liêm,Nhà biệt thự,Thỏa thuận,120.0,,,5,,,6.0,,,,2025-06-02,2025-12-30,,
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"5,3 tỷ",61.0,2.0,2,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-06,2025-12-30,5.3,tỷ
Bán,Hà Nội,Long Biên,Nhà riêng,"22,8 tỷ",80.0,5.0,5,7,,,5.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-04,2025-12-30,22.8,tỷ
Bán,Hồ Chí Minh,Quận 2,Đất nền,175 triệu/m²,112.75,,,,,,,,Sổ đỏ cá nhân.,,2025-06-06,2025-12-30,175.0,triệu/m²
Bán,Hồ Chí Minh,Quận 2,Nhà mặt phố,"8,1 tỷ",90.0,,,,,,,20.0,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-06,2025-12-30,8.1,tỷ
Bán,Hồ Chí Minh,Quận 1,Căn hộ chung cư,"11,3 tỷ",84.0,2.0,2,,Tây - Nam,Đông - Bắc,,,Sổ đỏ/ Sổ hồng,Cơ bản,2025-06-06,2025-12-30,11.3,tỷ
Bán,Bà Rịa Vũng Tàu,Vũng Tàu,Loại bất động sản khác,Thỏa thuận,966.0,,,,,,,,,,2025-06-06,2025-12-30,,
Bán,Bình Dương,Thủ Dầu Một,Căn hộ chung cư,"2,1 tỷ",78.0,3.0,2,,Đông - Nam,Đông - Nam,,,Hợp đồng mua bán.,Bàn giao hoàn thiện cơ bản.,2025-06-06,2025-12-30,2.1,tỷ
Bán,Hồ Chí Minh,Quận 7,Nhà mặt phố,"23,8 tỷ",521.5,,,4,,,,,,,2025-06-06,2025-12-30,23.8,tỷ
Bán,Hồ Chí Minh,Quận 9,Đất nền,"10,8 tỷ",100.0,,,,,,5.0,12.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,10.8,tỷ
Bán,Hà Nội,Đống Đa,Nhà mặt phố,"28,5 tỷ",73.0,4.0,2,3,,,,40.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,28.5,tỷ
Bán,Hà Nội,Hà Đông,Nhà riêng,10 tỷ,114.0,4.0,,4,,,6.0,,Sổ đỏ,Full.,2025-06-03,2025-12-30,10.0,tỷ
Bán,Đà Nẵng,Ngũ Hành Sơn,Đất nền,"17,5 tỷ",250.0,,,,Đông - Nam,,10.0,15.0,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,17.5,tỷ
Bán,Thái Nguyên,Thái Nguyên,Loại bất động sản khác,26 tỷ,4.0,,,,,,,,,,2025-06-06,2025-12-30,26.0,tỷ
Bán,Hồ Chí Minh,Bình Chánh,Nhà biệt thự,"6,4 tỷ",60.0,4.0,4,3,,,,,Sổ đỏ/ Sổ hồng,,2025-06-06,2025-12-30,6.4,tỷ
Bán,Hồ Chí Minh,Quận 9,Nhà biệt thự,"28,3 tỷ",200.0,,,,,,,,Sổ đỏ/ Sổ hồng,Không nội thất,2025-06-06,2025-12-30,28.3,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"6,8 tỷ",70.0,2.0,2,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-06,2025-12-30,6.8,tỷ
Bán,Bình Định,Quy Nhơn,Shophouse,"2,4 tỷ",126.0,,,,,,,,Hợp đồng mua bán,,2025-06-06,2025-12-30,2.4,tỷ
Cho thuê,Hà Nội,Bắc Từ Liêm,Nhà trọ,4 triệu/tháng,30.0,1.0,1,,,,,,,Đầy đủ,2025-05-18,2025-12-30,4.0,triệu/tháng
Cho thuê,Bình Dương,Dĩ An,Căn hộ chung cư,"5,5 triệu/tháng",70.0,2.0,2,,Bắc,Nam,,,,Full.,2025-06-01,2025-12-30,5.5,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 7,Căn hộ chung cư,15 triệu/tháng,75.0,3.0,2,,,,,,,,2025-06-02,2025-12-30,15.0,triệu/tháng
Cho thuê,Bình Dương,Thủ Dầu Một,Căn hộ chung cư,"9,5 triệu/tháng",65.0,2.0,2,,,,,,,Đầy đủ,2025-06-08,2025-12-30,9.5,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 7,Căn hộ chung cư,7 triệu/tháng,67.0,2.0,2,,Đông,Đông - Bắc,,,,Đầy đủ,2025-06-08,2025-12-30,7.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Bình Thạnh,"Chung cư mini, căn hộ","10,5 triệu/tháng",60.0,2.0,2,,,,,,,Đầy đủ,2025-06-04,2025-12-30,10.5,triệu/tháng
Cho thuê,Hà Nội,Đống Đa,Nhà mặt phố,60 triệu/tháng,55.0,,,5,,,5.0,,,,2025-06-08,2025-12-30,60.0,triệu/tháng
Cho thuê,Bình Dương,Thủ Dầu Một,Căn hộ chung cư,15 triệu/tháng,69.0,2.0,2,,,,,,,Đầy đủ,2025-06-08,2025-12-30,15.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 4,Nhà mặt phố,50 triệu/tháng,100.0,7.0,7,7,,,,,,,2025-06-08,2025-12-30,50.0,triệu/tháng
Cho thuê,Hà Nội,Thanh Xuân,Nhà mặt phố,Thỏa thuận,120.0,,,9,,,,,,,2025-05-19,2025-12-30,,
Cho thuê,Hồ Chí Minh,Tân Phú,Kho,22 triệu/tháng,280.0,,,,,,,,,,2025-06-08,2025-12-30,22.0,triệu/tháng
Cho thuê,Hà Nội,Thanh Xuân,Nhà riêng,11 triệu/tháng,55.0,2.0,2,3,,,5.0,6.0,,Cơ bản,2025-06-08,2025-12-30,11.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,22 triệu/tháng,120.0,3.0,3,,Tây - Nam,Đông - Bắc,,,Hợp đồng mua bán,Cơ bản,2025-06-08,2025-12-30,22.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,23 triệu/tháng,88.0,2.0,2,,Tây - Nam,Đông - Bắc,,,Hợp đồng mua bán,Đầy đủ,2025-06-08,2025-12-30,23.0,triệu/tháng
Cho thuê,Long An,Cần Đước,Kho,90 triệu/tháng,3.9,,,,,,,,,,2025-06-08,2025-12-30,90.0,triệu/tháng
Cho thuê,Bình Dương,Thủ Dầu Một,Căn hộ chung cư,18 triệu/tháng,80.0,2.0,2,,,,,,,Đầy đủ,2025-06-08,2025-12-30,18.0,triệu/tháng
Cho thuê,Bình Dương,Thủ Dầu Một,Căn hộ chung cư,19 triệu/tháng,80.0,2.0,2,,,,,,,Đầy đủ,2025-06-08,2025-12-30,19.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 7,Căn hộ chung cư,11 triệu/tháng,38.0,1.0,1,,Đông,Tây,,,,Đầy đủ,2025-06-02,2025-12-30,11.0,triệu/tháng
Cho thuê,Hà Nội,Hai Bà Trưng,Nhà mặt phố,70 triệu/tháng,75.0,,,5,,,8.0,,,,2025-06-01,2025-12-30,70.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 2,Căn hộ chung cư,46 triệu/tháng,127.0,3.0,2,,,,,,,Đầy đủ,2025-06-08,2025-12-30,46.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,17 triệu/tháng,96.0,2.0,2,,,,,,,Cơ bản,2025-06-07,2025-12-30,17.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 7,Căn hộ chung cư,"11,5 triệu/tháng",62.0,2.0,2,,Đông - Bắc,Tây - Nam,,,,Cơ bản,2025-06-02,2025-12-30,11.5,triệu/tháng
Cho thuê,Bình Dương,Thủ Dầu Một,Căn hộ chung cư,17 triệu/tháng,80.0,2.0,2,,,,,,,Đầy đủ,2025-06-08,2025-12-30,17.0,triệu/tháng
Cho thuê,Bình Dương,Thủ Dầu Một,Căn hộ chung cư,"7,5 triệu/tháng",80.0,2.0,2,,,,,,Sổ đỏ/ Sổ hồng,"Cơ bản nội thất cơ bản: Tủ lạnh, máy lạnh, rèm, bếp, máy hút mùi, máy nước nóng.",2025-06-08,2025-12-30,7.5,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,22 triệu/tháng,141.0,3.0,2,,Tây - Nam,Đông - Bắc,,,,Cơ bản,2025-06-07,2025-12-30,22.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 7,Căn hộ chung cư,14 triệu/tháng,90.0,3.0,2,,Tây - Nam,Đông - Bắc,,,,Full nội thất như hình.,2025-06-02,2025-12-30,14.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,"11,8 triệu/tháng",85.0,2.0,2,,,Đông - Nam,,,,Full nội thất nhập khẩu từ Đức.,2025-06-02,2025-12-30,11.8,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 1,Nhà mặt phố,33 triệu/tháng,117.0,,,,,,,,,,2025-05-31,2025-12-30,33.0,triệu/tháng
Cho thuê,Bình Dương,Thuận An,Căn hộ chung cư,5 triệu/tháng,61.0,2.0,2,,,,,,,Cơ bản,2025-06-08,2025-12-30,5.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,10 triệu/tháng,65.0,2.0,2,,,Đông - Bắc,,,,Nội thất cơ bản.,2025-05-25,2025-12-30,10.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 10,"Chung cư mini, căn hộ","7,5 triệu/tháng",35.0,1.0,1,,,,,,,Đầy đủ,2025-06-08,2025-12-30,7.5,triệu/tháng
Cho thuê,Hồ Chí Minh,Phú Nhuận,Nhà mặt phố,75 triệu/tháng,144.0,,,,,,8.0,20.0,,Cơ bản,2025-06-07,2025-12-30,75.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Phú Nhuận,Nhà mặt phố,165 triệu/tháng,128.0,6.0,6,6,,,8.0,30.0,,Đầy đủ,2025-06-03,2025-12-30,165.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 2,Căn hộ chung cư,13 triệu/tháng,65.0,2.0,2,,,,,,,Đầy đủ,2025-05-29,2025-12-30,13.0,triệu/tháng
Cho thuê,Hà Nội,Hai Bà Trưng,Căn hộ chung cư,18 triệu/tháng,90.0,2.0,2,,,,,,,,2025-05-30,2025-12-30,18.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Phú Nhuận,Nhà trọ,5 triệu/tháng,22.0,1.0,1,,Nam,Bắc,,,,Cơ bản,2025-06-07,2025-12-30,5.0,triệu/tháng
Cho thuê,Hà Nội,Hai Bà Trưng,Căn hộ chung cư,14 triệu/tháng,80.0,2.0,2,,Bắc,Nam,,,,Cơ bản,2025-06-04,2025-12-30,14.0,triệu/tháng
Cho thuê,Hà Nội,Bắc Từ Liêm,Nhà riêng,17 triệu/tháng,125.0,,,3,Bắc,Bắc,,9.0,,Không nội thất,2025-05-18,2025-12-30,17.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Bình Thạnh,Nhà mặt phố,36 triệu/tháng,100.0,,,4,,,,20.0,,,2025-06-02,2025-12-30,36.0,triệu/tháng
Cho thuê,Hà Nội,Hoàn Kiếm,Nhà mặt phố,70 triệu/tháng,40.0,4.0,,4,,,4.0,,,,2025-06-08,2025-12-30,70.0,triệu/tháng
Cho thuê,Hà Nội,Đống Đa,Nhà trọ,"3,5 triệu/tháng",30.0,1.0,1,,,,,,,,2025-06-08,2025-12-30,3.5,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,21 triệu/tháng,121.0,3.0,2,,Tây - Bắc,Đông - Nam,,,,,2025-06-08,2025-12-30,21.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,22 triệu/tháng,96.0,2.0,2,,Bắc,Nam,,,Hợp đồng mua bán,Đầy đủ,2025-06-08,2025-12-30,22.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,"Chung cư mini, căn hộ","5,5 triệu/tháng",40.0,,,,,,,,,Đầy đủ,2025-06-08,2025-12-30,5.5,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 2,Căn hộ chung cư,57 triệu/tháng,102.0,3.0,2,,,Bắc,,,,Đầy đủ,2025-05-29,2025-12-30,57.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,30 triệu/tháng,141.0,4.0,3,,Đông - Nam,Tây - Bắc,,,Hợp đồng mua bán,,2025-06-08,2025-12-30,30.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Gò Vấp,Nhà riêng,19 triệu/tháng,60.0,5.0,5,5,,,4.0,8.0,,Cơ bản,2025-05-30,2025-12-30,19.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Quận 1,Nhà riêng,79 triệu/tháng,58.0,9.0,10,5,,,,,,Đầy đủ,2025-06-04,2025-12-30,79.0,triệu/tháng
Cho thuê,Hồ Chí Minh,Tân Phú,Căn hộ chung cư,16 triệu/tháng,96.0,2.0,2,,,,,,Hợp đồng mua bán,,2025-06-08,2025-12-30,16.0,triệu/tháng
