Loại giao dịch,Thành phố,Quận/huyện,Loại hình đất,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất,Ngày đăng,crawl_date,Giá,Đơn vị(Mức giá)
Bán,Hà Nội,Gia Lâm,Căn hộ chung cư,"5,3 tỷ",82.4,3.0,2,,Đông - Nam,Tây - Bắc,,,Hợp đồng mua bán,Nội thất châu Âu,2025-06-05,2025-12-30,5.3,tỷ
Bán,Hồ Chí Minh,Quận 9,Căn hộ chung cư,"3,5 tỷ",81.0,3.0,2,,Đông - Nam,,,,Hợp đồng mua bán,Đầy đủ.,2025-06-05,2025-12-30,3.5,tỷ
Bán,Hồ Chí Minh,Quận 7,Căn hộ chung cư,"3,15 tỷ",67.0,2.0,2,,,,,,,,2025-06-05,2025-12-30,3.15,tỷ
Bán,Hồ Chí Minh,Quận 7,Căn hộ chung cư,4 tỷ,86.0,3.0,2,,,,,,,Cơ bản,2025-06-05,2025-12-30,4.0,tỷ
Bán,Đà Nẵng,Hải Châu,Căn hộ chung cư,Thỏa thuận,34.7,1.0,1,,,,,,,,2025-06-05,2025-12-30,,
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"4,8 tỷ",64.0,2.0,2,,Tây,Đông,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,4.8,tỷ
Bán,Đà Nẵng,Sơn Trà,Căn hộ chung cư,"2,61 tỷ",34.1,1.0,1,,Tây - Nam,Đông - Bắc,,,Sổ đỏ/ Sổ hồng,Đầy đủ,2025-06-05,2025-12-30,2.61,tỷ
Bán,Hồ Chí Minh,Quận 2,Căn hộ chung cư,"9,9 tỷ",64.0,1.0,1,,,,,,Hợp đồng mua bán,,2025-06-05,2025-12-30,9.9,tỷ
Bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư,"4,8 tỷ",64.0,,,,,,,,Đầy đủ,Full,2025-06-05,2025-12-30,4.8,tỷ
Bán,Hồ Chí Minh,Quận 7,Căn hộ chung cư,Thỏa thuận,70.0,2.0,2,,Đông,Nam,,,Hợp đồng mua bán,Cơ bản,2025-06-05,2025-12-30,,
Bán,Hà Nội,Đan Phượng,Nhà biệt thự,"31,6 tỷ",120.0,4.0,5,4,Đông - Nam,Nam,8.0,17.0,Hợp đồng mua bán,Không nội thất,2025-06-05,2025-12-30,31.6,tỷ
Bán,Đồng Nai,Nhơn Trạch,Đất nền,8 tỷ,107.0,,,,Nam,,24.0,40.0,Hợp đồng mua bán,,2025-06-05,2025-12-30,8.0,tỷ
Bán,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư,"4,75 tỷ",71.0,2.0,2,,,Tây - Nam,,,Hợp đồng mua bán.,"Bàn giao nội thất: Full tủ bếp/ full thiết bị vệ sinh/ có máy hút mùi, bếp điện từ, cung cấp máy lạnh mỗi phòng đều là Teka / Grohe/ An.",2025-06-05,2025-12-30,4.75,tỷ
